,Packet_Number,Timestamp,Source_IP,Destination_IP,Protocol,Length,Source_Port,Destination_Port,Flags,Sequence_Number,cluster
0,1,2024-09-04 17:32:31.318609,0.0.0.0,255.255.255.255,17.0,344,68.0,67.0,,,4
1,2,2024-09-04 17:32:31.319395,172.17.0.17,255.255.255.255,17.0,349,67.0,68.0,,,4
2,3,2024-09-04 17:32:31.319898,0.0.0.0,255.255.255.255,17.0,385,68.0,67.0,,,4
3,4,2024-09-04 17:32:31.320804,172.17.0.17,255.255.255.255,17.0,354,67.0,68.0,,,4
4,5,2024-09-04 17:32:31.328745,,,,60,,,,,4
5,6,2024-09-04 17:32:31.328745,,,,60,,,,,4
6,7,2024-09-04 17:32:31.328745,172.17.0.99,172.17.0.17,17.0,126,59123.0,53.0,,,3
7,8,2024-09-04 17:32:31.328859,172.17.0.99,224.0.0.251,17.0,81,5353.0,5353.0,,,3
8,9,2024-09-04 17:32:31.328944,172.17.0.17,172.17.0.99,17.0,192,53.0,59123.0,,,0
9,10,2024-09-04 17:32:31.328989,172.17.0.99,224.0.0.251,17.0,91,5353.0,5353.0,,,3
10,11,2024-09-04 17:32:31.329715,172.17.0.99,224.0.0.252,17.0,75,65173.0,5355.0,,,3
11,12,2024-09-04 17:32:31.329715,172.17.0.99,172.17.0.17,17.0,90,59940.0,53.0,,,3
12,13,2024-09-04 17:32:31.329715,172.17.0.99,172.17.0.17,17.0,90,51761.0,53.0,,,3
13,14,2024-09-04 17:32:31.329895,172.17.0.17,172.17.0.99,17.0,169,53.0,59940.0,,,0
14,15,2024-09-04 17:32:31.329895,172.17.0.17,172.17.0.99,17.0,106,53.0,51761.0,,,0
15,16,2024-09-04 17:32:31.330430,172.17.0.99,172.17.0.17,17.0,232,59941.0,389.0,,,3
16,17,2024-09-04 17:32:31.330497,172.17.0.99,172.17.0.17,17.0,156,59940.0,53.0,,,3
17,18,2024-09-04 17:32:31.330924,172.17.0.17,172.17.0.99,17.0,212,389.0,59941.0,,,0
18,19,2024-09-04 17:32:31.332560,172.17.0.17,172.17.0.99,17.0,156,53.0,59940.0,,,0
19,20,2024-09-04 17:32:31.396549,172.17.0.99,172.17.0.255,17.0,110,137.0,137.0,,,3
20,21,2024-09-04 17:32:31.396549,172.17.0.99,172.17.0.255,17.0,110,137.0,137.0,,,3
21,22,2024-09-04 17:32:31.396549,172.17.0.99,172.17.0.255,17.0,110,137.0,137.0,,,3
22,23,2024-09-04 17:32:31.431684,172.17.0.99,172.17.0.17,17.0,126,51761.0,53.0,,,3
23,24,2024-09-04 17:32:31.431684,172.17.0.99,172.17.0.17,6.0,66,49765.0,389.0,S,3082116327.0,1
24,25,2024-09-04 17:32:31.431808,172.17.0.17,172.17.0.99,17.0,192,53.0,51761.0,,,0
25,26,2024-09-04 17:32:31.431808,172.17.0.17,172.17.0.99,6.0,66,389.0,49765.0,SA,2979797376.0,5
26,27,2024-09-04 17:32:31.432381,172.17.0.99,172.17.0.17,6.0,60,49765.0,389.0,A,3082116328.0,1
27,28,2024-09-04 17:32:31.432381,172.17.0.99,172.17.0.17,17.0,232,59942.0,389.0,,,3
28,29,2024-09-04 17:32:31.432523,172.17.0.17,172.17.0.99,17.0,212,389.0,59942.0,,,0
29,30,2024-09-04 17:32:31.432872,172.17.0.99,172.17.0.17,6.0,1514,49765.0,389.0,A,3082116328.0,1
30,31,2024-09-04 17:32:31.433000,172.17.0.99,172.17.0.17,6.0,668,49765.0,389.0,PA,3082117788.0,1
31,32,2024-09-04 17:32:31.433022,172.17.0.17,172.17.0.99,6.0,60,389.0,49765.0,A,2979797377.0,5
32,33,2024-09-04 17:32:31.433776,172.17.0.17,172.17.0.99,6.0,257,389.0,49765.0,PA,2979797377.0,5
33,34,2024-09-04 17:32:31.434061,172.17.0.99,172.17.0.17,6.0,97,49765.0,389.0,PA,3082118402.0,1
34,35,2024-09-04 17:32:31.434239,172.17.0.99,172.17.0.17,6.0,60,49765.0,389.0,FA,3082118445.0,1
35,36,2024-09-04 17:32:31.434259,172.17.0.17,172.17.0.99,6.0,60,389.0,49765.0,RA,2979797587.0,5
36,37,2024-09-04 17:32:31.434301,172.17.0.17,172.17.0.99,6.0,60,389.0,49765.0,R,2979797587.0,5
37,38,2024-09-04 17:32:31.618230,,,,60,,,,,4
38,39,2024-09-04 17:32:31.819433,172.17.0.99,172.17.0.17,17.0,79,62363.0,53.0,,,3
39,40,2024-09-04 17:32:31.819433,172.17.0.99,172.17.0.17,17.0,79,61360.0,53.0,,,3
40,41,2024-09-04 17:32:31.819563,172.17.0.17,172.17.0.99,17.0,156,53.0,62363.0,,,0
41,42,2024-09-04 17:32:31.819563,172.17.0.17,172.17.0.99,17.0,156,53.0,61360.0,,,0
42,43,2024-09-04 17:32:31.822610,,,,60,,,,,4
43,44,2024-09-04 17:32:31.822799,,,,60,,,,,4
44,45,2024-09-04 17:32:31.822984,,,,60,,,,,4
45,46,2024-09-04 17:32:31.823024,,,,60,,,,,4
46,47,2024-09-04 17:32:31.835596,172.17.0.99,172.17.0.17,17.0,83,61360.0,53.0,,,3
47,48,2024-09-04 17:32:31.893848,172.17.0.17,172.17.0.99,17.0,227,53.0,61360.0,,,0
48,49,2024-09-04 17:32:31.894502,172.17.0.99,23.220.251.149,6.0,66,49766.0,80.0,S,3114674525.0,8
49,50,2024-09-04 17:32:31.935544,23.220.251.149,172.17.0.99,6.0,66,80.0,49766.0,SA,2838716223.0,5
