Packet_Number,Timestamp,Source_IP,Destination_IP,Protocol,Length,Source_Port,Destination_Port,Flags,Sequence_Number
1,2024-08-15 00:09:43.804291,0.0.0.0,255.255.255.255,17,383,68,67,,
2,2024-08-15 00:09:43.805046,10.8.15.4,255.255.255.255,17,342,67,68,,
3,2024-08-15 00:09:43.815024,0.0.0.0,255.255.255.255,17,342,68,67,,
4,2024-08-15 00:09:43.815945,10.8.15.4,255.255.255.255,17,353,67,68,,
5,2024-08-15 00:09:43.827903,0.0.0.0,255.255.255.255,17,389,68,67,,
6,2024-08-15 00:09:43.828521,10.8.15.4,255.255.255.255,17,358,67,68,,
7,2024-08-15 00:09:43.843922,,,,42,,,,
8,2024-08-15 00:09:43.844007,,,,42,,,,
9,2024-08-15 00:09:43.853056,10.8.15.133,224.0.0.22,2,54,,,,
10,2024-08-15 00:09:43.862061,,,,42,,,,
11,2024-08-15 00:09:43.862144,10.8.15.133,224.0.0.22,2,54,,,,
12,2024-08-15 00:09:43.876661,10.8.15.133,224.0.0.22,2,54,,,,
13,2024-08-15 00:09:43.881752,10.8.15.133,224.0.0.22,2,54,,,,
14,2024-08-15 00:09:43.881995,10.8.15.133,224.0.0.22,2,54,,,,
15,2024-08-15 00:09:43.883830,10.8.15.133,224.0.0.251,17,81,5353,5353,,
16,2024-08-15 00:09:43.884090,10.8.15.133,224.0.0.251,17,91,5353,5353,,
17,2024-08-15 00:09:43.886077,10.8.15.133,224.0.0.252,17,75,60139,5355,,
18,2024-08-15 00:09:44.162670,,,,42,,,,
19,2024-08-15 00:09:44.162985,,,,42,,,,
20,2024-08-15 00:09:44.163120,10.8.15.133,10.8.15.4,17,99,59553,53,,
21,2024-08-15 00:09:44.163446,10.8.15.4,10.8.15.133,17,169,53,59553,,
22,2024-08-15 00:09:44.185334,10.8.15.133,10.8.15.4,17,94,59553,53,,
23,2024-08-15 00:09:44.185623,10.8.15.4,10.8.15.133,17,110,53,59553,,
24,2024-08-15 00:09:44.194746,10.8.15.133,10.8.15.4,17,239,59555,389,,
25,2024-08-15 00:09:44.195020,,,,42,,,,
26,2024-08-15 00:09:44.195140,,,,42,,,,
27,2024-08-15 00:09:44.195198,10.8.15.4,10.8.15.133,17,222,389,59555,,
28,2024-08-15 00:09:44.217966,,,,42,,,,
29,2024-08-15 00:09:44.218090,,,,42,,,,
30,2024-08-15 00:09:44.241556,10.8.15.133,10.8.15.255,17,110,137,137,,
31,2024-08-15 00:09:44.242030,10.8.15.133,10.8.15.255,17,110,137,137,,
32,2024-08-15 00:09:44.314131,10.8.15.133,10.8.15.4,17,99,59553,53,,
33,2024-08-15 00:09:44.314689,10.8.15.4,10.8.15.133,17,169,53,59553,,
34,2024-08-15 00:09:44.315906,10.8.15.133,10.8.15.4,6,66,49667,389,S,419615961
35,2024-08-15 00:09:44.316047,10.8.15.4,10.8.15.133,6,66,389,49667,SA,2063443417
36,2024-08-15 00:09:44.316140,10.8.15.133,10.8.15.4,6,54,49667,389,A,419615962
37,2024-08-15 00:09:44.316304,10.8.15.133,10.8.15.4,6,398,49667,389,PA,419615962
38,2024-08-15 00:09:44.316587,10.8.15.4,10.8.15.133,6,1514,389,49667,A,2063443418
39,2024-08-15 00:09:44.316590,10.8.15.4,10.8.15.133,6,1435,389,49667,PA,2063444878
40,2024-08-15 00:09:44.316713,10.8.15.133,10.8.15.4,6,54,49667,389,A,419616312
41,2024-08-15 00:09:44.335737,10.8.15.133,10.8.15.4,17,239,59556,389,,
42,2024-08-15 00:09:44.336104,10.8.15.4,10.8.15.133,17,222,389,59556,,
43,2024-08-15 00:09:44.362162,10.8.15.133,224.0.0.22,2,54,,,,
44,2024-08-15 00:09:44.366760,10.8.15.133,10.8.15.4,17,239,59558,389,,
45,2024-08-15 00:09:44.367126,10.8.15.4,10.8.15.133,17,222,389,59558,,
46,2024-08-15 00:09:44.585086,10.8.15.133,10.8.15.4,6,66,49670,445,S,2119262397
47,2024-08-15 00:09:44.585327,10.8.15.4,10.8.15.133,6,66,445,49670,SA,3545989992
48,2024-08-15 00:09:44.585488,10.8.15.133,10.8.15.4,6,54,49670,445,A,2119262398
49,2024-08-15 00:09:44.603350,10.8.15.133,10.8.15.4,6,127,49670,445,PA,2119262398
50,2024-08-15 00:09:44.603837,10.8.15.4,10.8.15.133,6,306,445,49670,PA,3545989993
51,2024-08-15 00:09:44.604015,10.8.15.133,10.8.15.4,6,382,49670,445,PA,2119262471
52,2024-08-15 00:09:44.604313,10.8.15.4,10.8.15.133,6,430,445,49670,PA,3545990245
53,2024-08-15 00:09:44.658956,10.8.15.133,10.8.15.4,6,54,49670,445,A,2119262799
54,2024-08-15 00:09:44.863059,,,,42,,,,
55,2024-08-15 00:09:44.978235,10.8.15.133,10.8.15.4,17,83,53383,53,,
56,2024-08-15 00:09:44.978533,10.8.15.4,10.8.15.133,17,164,53,53383,,
57,2024-08-15 00:09:44.988087,10.8.15.133,10.8.15.255,17,110,137,137,,
58,2024-08-15 00:09:44.988227,10.8.15.133,10.8.15.255,17,110,137,137,,
59,2024-08-15 00:09:44.996099,10.8.15.133,10.8.15.4,17,83,58264,53,,
60,2024-08-15 00:09:44.996370,10.8.15.4,10.8.15.133,17,164,53,58264,,
61,2024-08-15 00:09:45.022161,10.8.15.133,10.8.15.4,17,83,58264,53,,
62,2024-08-15 00:09:45.064601,10.8.15.4,10.8.15.133,17,227,53,58264,,
63,2024-08-15 00:09:45.094815,10.8.15.133,23.205.110.48,6,66,49671,80,S,1619222182
64,2024-08-15 00:09:45.124264,23.205.110.48,10.8.15.133,6,58,80,49671,SA,2969632003
65,2024-08-15 00:09:45.124430,10.8.15.133,23.205.110.48,6,54,49671,80,A,1619222183
66,2024-08-15 00:09:45.124763,10.8.15.133,23.205.110.48,6,165,49671,80,PA,1619222183
67,2024-08-15 00:09:45.124841,23.205.110.48,10.8.15.133,6,54,80,49671,A,2969632004
68,2024-08-15 00:09:45.165344,23.205.110.48,10.8.15.133,6,241,80,49671,FPA,2969632004
69,2024-08-15 00:09:45.165509,10.8.15.133,23.205.110.48,6,54,49671,80,A,1619222294
70,2024-08-15 00:09:45.177805,10.8.15.133,23.205.110.48,6,54,49671,80,FA,1619222294
71,2024-08-15 00:09:45.177945,23.205.110.48,10.8.15.133,6,54,80,49671,A,2969632192
72,2024-08-15 00:09:45.304554,10.8.15.133,10.8.15.4,17,76,53383,53,,
73,2024-08-15 00:09:45.344967,10.8.15.4,10.8.15.133,17,171,53,53383,,
74,2024-08-15 00:09:45.375608,10.8.15.133,23.33.138.184,6,66,49672,443,S,548417422
75,2024-08-15 00:09:45.434781,23.33.138.184,10.8.15.133,6,58,443,49672,SA,4186996347
76,2024-08-15 00:09:45.434932,10.8.15.133,23.33.138.184,6,54,49672,443,A,548417423
77,2024-08-15 00:09:45.479612,10.8.15.133,23.33.138.184,6,344,49672,443,PA,548417423
78,2024-08-15 00:09:45.479758,23.33.138.184,10.8.15.133,6,54,443,49672,A,4186996348
79,2024-08-15 00:09:45.536338,23.33.138.184,10.8.15.133,6,1418,443,49672,PA,4186996348
80,2024-08-15 00:09:45.542748,23.33.138.184,10.8.15.133,6,1514,443,49672,A,4186997712
81,2024-08-15 00:09:45.542751,23.33.138.184,10.8.15.133,6,1326,443,49672,PA,4186999172
82,2024-08-15 00:09:45.550764,10.8.15.133,23.33.138.184,6,54,49672,443,A,548417713
83,2024-08-15 00:09:45.587200,23.33.138.184,10.8.15.133,6,1514,443,49672,A,4187000444
84,2024-08-15 00:09:45.587203,23.33.138.184,10.8.15.133,6,551,443,49672,PA,4187001904
85,2024-08-15 00:09:45.589159,10.8.15.133,23.33.138.184,6,54,49672,443,A,548417713
86,2024-08-15 00:09:45.616361,10.8.15.133,23.33.138.184,6,134,49672,443,PA,548417713
87,2024-08-15 00:09:45.616530,23.33.138.184,10.8.15.133,6,54,443,49672,A,4187002401
88,2024-08-15 00:09:45.620536,10.8.15.133,23.33.138.184,6,423,49672,443,PA,548417793
89,2024-08-15 00:09:45.620581,10.8.15.133,23.33.138.184,6,1496,49672,443,PA,548418162
90,2024-08-15 00:09:45.620609,23.33.138.184,10.8.15.133,6,54,443,49672,A,4187002401
91,2024-08-15 00:09:45.620682,23.33.138.184,10.8.15.133,6,54,443,49672,A,4187002401
92,2024-08-15 00:09:45.675103,23.33.138.184,10.8.15.133,6,628,443,49672,PA,4187002401
93,2024-08-15 00:09:45.684242,23.33.138.184,10.8.15.133,6,799,443,49672,PA,4187002975
94,2024-08-15 00:09:45.684425,10.8.15.133,23.33.138.184,6,54,49672,443,A,548419604
95,2024-08-15 00:09:45.686225,23.33.138.184,10.8.15.133,6,78,443,49672,PA,4187003720
96,2024-08-15 00:09:45.686451,23.33.138.184,10.8.15.133,6,54,443,49672,FPA,4187003744
97,2024-08-15 00:09:45.689252,10.8.15.133,23.33.138.184,6,54,49672,443,A,548419604
98,2024-08-15 00:09:45.691499,10.8.15.133,23.33.138.184,6,78,49672,443,PA,548419604
99,2024-08-15 00:09:45.691561,10.8.15.133,23.33.138.184,6,54,49672,443,FA,548419628
100,2024-08-15 00:09:45.691580,23.33.138.184,10.8.15.133,6,54,443,49672,A,4187003745
101,2024-08-15 00:09:45.691609,23.33.138.184,10.8.15.133,6,54,443,49672,A,4187003745
102,2024-08-15 00:09:45.709163,10.8.15.133,23.33.138.184,6,66,49673,443,S,4240724693
103,2024-08-15 00:09:45.739794,10.8.15.133,10.8.15.255,17,110,137,137,,
104,2024-08-15 00:09:45.739856,10.8.15.133,10.8.15.255,17,110,137,137,,
105,2024-08-15 00:09:45.758648,23.33.138.184,10.8.15.133,6,58,443,49673,SA,4051097435
106,2024-08-15 00:09:45.769454,10.8.15.133,23.33.138.184,6,54,49673,443,A,4240724694
107,2024-08-15 00:09:45.799589,10.8.15.133,23.33.138.184,6,647,49673,443,PA,4240724694
108,2024-08-15 00:09:45.799743,23.33.138.184,10.8.15.133,6,54,443,49673,A,4051097436
109,2024-08-15 00:09:45.860306,23.33.138.184,10.8.15.133,6,324,443,49673,PA,4051097436
110,2024-08-15 00:09:45.919222,10.8.15.133,10.8.15.4,17,130,53383,53,,
111,2024-08-15 00:09:45.919506,10.8.15.4,10.8.15.133,17,200,53,53383,,
112,2024-08-15 00:09:45.932215,,,,42,,,,
113,2024-08-15 00:09:45.932325,10.8.15.133,23.33.138.184,6,54,49673,443,A,4240725287
114,2024-08-15 00:09:45.949913,10.8.15.133,10.8.15.4,17,134,53383,53,,
115,2024-08-15 00:09:45.950206,10.8.15.4,10.8.15.133,17,204,53,53383,,
116,2024-08-15 00:09:45.951588,10.8.15.133,23.33.138.184,6,134,49673,443,PA,4240725287
117,2024-08-15 00:09:45.951718,23.33.138.184,10.8.15.133,6,54,443,49673,A,4051097706
118,2024-08-15 00:09:45.951811,10.8.15.133,23.33.138.184,6,423,49673,443,PA,4240725367
119,2024-08-15 00:09:45.951852,10.8.15.133,23.33.138.184,6,1500,49673,443,PA,4240725736
120,2024-08-15 00:09:45.951875,23.33.138.184,10.8.15.133,6,54,443,49673,A,4051097706
121,2024-08-15 00:09:45.951934,23.33.138.184,10.8.15.133,6,54,443,49673,A,4051097706
122,2024-08-15 00:09:45.953668,10.8.15.133,10.8.15.4,17,278,58266,389,,
123,2024-08-15 00:09:45.954054,10.8.15.4,10.8.15.133,17,239,389,58266,,
124,2024-08-15 00:09:45.976186,10.8.15.133,10.8.15.4,17,134,53383,53,,
125,2024-08-15 00:09:45.976431,10.8.15.4,10.8.15.133,17,204,53,53383,,
126,2024-08-15 00:09:45.976541,10.8.15.133,10.8.15.4,17,279,58266,389,,
127,2024-08-15 00:09:45.976653,10.8.15.133,10.8.15.4,17,240,58266,389,,
128,2024-08-15 00:09:45.976859,10.8.15.4,10.8.15.133,17,222,389,58266,,
129,2024-08-15 00:09:45.976860,10.8.15.133,10.8.15.4,17,239,58266,389,,
130,2024-08-15 00:09:45.976904,10.8.15.4,10.8.15.133,17,222,389,58266,,
131,2024-08-15 00:09:45.977054,10.8.15.4,10.8.15.133,17,222,389,58266,,
132,2024-08-15 00:09:45.995851,10.8.15.133,10.8.15.4,17,239,58266,389,,
133,2024-08-15 00:09:45.996142,10.8.15.4,10.8.15.133,17,222,389,58266,,
134,2024-08-15 00:09:46.023070,23.33.138.184,10.8.15.133,6,1110,443,49673,FPA,4051097706
135,2024-08-15 00:09:46.026824,10.8.15.133,23.33.138.184,6,54,49673,443,A,4240727182
136,2024-08-15 00:09:46.061868,10.8.15.133,10.8.15.4,17,240,58266,389,,
137,2024-08-15 00:09:46.062192,10.8.15.4,10.8.15.133,17,222,389,58266,,
138,2024-08-15 00:09:46.090656,10.8.15.133,10.8.15.4,6,66,49676,88,S,3254969382
139,2024-08-15 00:09:46.090890,10.8.15.4,10.8.15.133,6,66,88,49676,SA,473947259
140,2024-08-15 00:09:46.091531,10.8.15.133,10.8.15.4,6,66,49677,135,S,3789551967
141,2024-08-15 00:09:46.091831,10.8.15.4,10.8.15.133,6,66,135,49677,SA,1603787650
142,2024-08-15 00:09:46.092048,10.8.15.133,10.8.15.4,6,66,49678,135,S,3831842794
143,2024-08-15 00:09:46.092308,10.8.15.4,10.8.15.133,6,66,135,49678,SA,3620752940
144,2024-08-15 00:09:46.094519,10.8.15.133,23.33.138.184,6,78,49673,443,PA,4240727182
145,2024-08-15 00:09:46.094547,10.8.15.133,23.33.138.184,6,54,49673,443,FA,4240727206
146,2024-08-15 00:09:46.094640,23.33.138.184,10.8.15.133,6,54,443,49673,A,4051098763
147,2024-08-15 00:09:46.094672,23.33.138.184,10.8.15.133,6,54,443,49673,A,4051098763
148,2024-08-15 00:09:46.099428,10.8.15.133,10.8.15.4,6,54,49676,88,A,3254969383
149,2024-08-15 00:09:46.099452,10.8.15.133,10.8.15.4,6,54,49677,135,A,3789551968
150,2024-08-15 00:09:46.099490,10.8.15.133,10.8.15.4,6,54,49678,135,A,3831842795
151,2024-08-15 00:09:46.099681,10.8.15.133,10.8.15.4,6,306,49676,88,PA,3254969383
152,2024-08-15 00:09:46.100123,10.8.15.4,10.8.15.133,6,294,88,49676,PA,473947260
153,2024-08-15 00:09:46.100454,10.8.15.133,10.8.15.4,6,54,49676,88,FA,3254969635
154,2024-08-15 00:09:46.100557,10.8.15.133,10.8.15.4,6,214,49677,135,PA,3789551968
155,2024-08-15 00:09:46.100597,10.8.15.4,10.8.15.133,6,54,88,49676,A,473947500
156,2024-08-15 00:09:46.100730,10.8.15.4,10.8.15.133,6,54,88,49676,RA,473947500
157,2024-08-15 00:09:46.100808,10.8.15.4,10.8.15.133,6,162,135,49677,PA,1603787651
158,2024-08-15 00:09:46.105349,10.8.15.133,10.8.15.4,6,222,49677,135,PA,3789552128
159,2024-08-15 00:09:46.105390,10.8.15.133,10.8.15.4,6,214,49678,135,PA,3831842795
160,2024-08-15 00:09:46.105520,10.8.15.4,10.8.15.133,6,138,135,49678,PA,3620752941
161,2024-08-15 00:09:46.105546,10.8.15.133,10.8.15.4,6,66,49679,88,S,2957954415
162,2024-08-15 00:09:46.105681,10.8.15.4,10.8.15.133,6,66,88,49679,SA,1988958010
163,2024-08-15 00:09:46.105838,10.8.15.4,10.8.15.133,6,322,135,49677,PA,1603787759
164,2024-08-15 00:09:46.109578,10.8.15.133,10.8.15.4,6,66,49680,88,S,2139913762
165,2024-08-15 00:09:46.109723,10.8.15.4,10.8.15.133,6,66,88,49680,SA,2093811324
166,2024-08-15 00:09:46.110090,10.8.15.133,10.8.15.4,6,306,49679,88,PA,2957954416
167,2024-08-15 00:09:46.110107,10.8.15.133,10.8.15.4,6,54,49680,88,A,2139913763
168,2024-08-15 00:09:46.110316,10.8.15.133,10.8.15.4,6,222,49678,135,PA,3831842955
169,2024-08-15 00:09:46.110373,10.8.15.133,10.8.15.4,6,386,49680,88,PA,2139913763
170,2024-08-15 00:09:46.111129,10.8.15.4,10.8.15.133,6,294,88,49679,PA,1988958011
171,2024-08-15 00:09:46.111457,10.8.15.4,10.8.15.133,6,418,135,49678,PA,3620753025
172,2024-08-15 00:09:46.111599,10.8.15.4,10.8.15.133,6,1514,88,49680,A,2093811325
173,2024-08-15 00:09:46.111602,10.8.15.4,10.8.15.133,6,437,88,49680,PA,2093812785
174,2024-08-15 00:09:46.111942,10.8.15.133,10.8.15.4,6,54,49679,88,FA,2957954668
175,2024-08-15 00:09:46.111963,10.8.15.133,10.8.15.4,6,54,49680,88,A,2139914095
176,2024-08-15 00:09:46.112132,10.8.15.4,10.8.15.133,6,54,88,49679,A,1988958251
177,2024-08-15 00:09:46.112134,10.8.15.133,10.8.15.4,6,54,49680,88,FA,2139914095
178,2024-08-15 00:09:46.112332,10.8.15.4,10.8.15.133,6,54,88,49680,A,2093813168
179,2024-08-15 00:09:46.112453,10.8.15.4,10.8.15.133,6,54,88,49679,RA,1988958251
180,2024-08-15 00:09:46.112546,10.8.15.4,10.8.15.133,6,54,88,49680,RA,2093813168
181,2024-08-15 00:09:46.119390,10.8.15.133,10.8.15.4,6,66,49681,88,S,4054317630
182,2024-08-15 00:09:46.119504,10.8.15.4,10.8.15.133,6,66,88,49681,SA,3249660730
183,2024-08-15 00:09:46.119808,10.8.15.133,10.8.15.4,6,66,49682,49669,S,3537816870
184,2024-08-15 00:09:46.119909,10.8.15.4,10.8.15.133,6,66,49669,49682,SA,44583496
185,2024-08-15 00:09:46.119992,10.8.15.133,10.8.15.4,6,66,49683,58963,S,1122436865
186,2024-08-15 00:09:46.120216,10.8.15.4,10.8.15.133,6,66,58963,49683,SA,3397610054
187,2024-08-15 00:09:46.120910,10.8.15.133,10.8.15.4,6,386,49681,88,PA,4054317631
188,2024-08-15 00:09:46.120925,10.8.15.133,10.8.15.4,6,54,49682,49669,A,3537816871
189,2024-08-15 00:09:46.120942,10.8.15.133,10.8.15.4,6,54,49683,58963,A,1122436866
190,2024-08-15 00:09:46.120960,10.8.15.133,10.8.15.4,6,214,49683,58963,PA,1122436866
191,2024-08-15 00:09:46.121376,10.8.15.4,10.8.15.133,6,162,58963,49683,PA,3397610055
192,2024-08-15 00:09:46.121729,10.8.15.133,10.8.15.4,6,66,49684,88,S,3193973945
193,2024-08-15 00:09:46.122019,10.8.15.4,10.8.15.133,6,66,88,49684,SA,1243046376
194,2024-08-15 00:09:46.122159,10.8.15.4,10.8.15.133,6,1514,88,49681,A,3249660731
195,2024-08-15 00:09:46.122161,10.8.15.4,10.8.15.133,6,437,88,49681,PA,3249662191
196,2024-08-15 00:09:46.122223,10.8.15.133,10.8.15.4,6,254,49683,58963,PA,1122437026
197,2024-08-15 00:09:46.122506,10.8.15.133,10.8.15.4,6,54,49684,88,A,3193973946
198,2024-08-15 00:09:46.122563,10.8.15.4,10.8.15.133,6,90,58963,49683,PA,3397610163
199,2024-08-15 00:09:46.122571,10.8.15.133,10.8.15.4,6,54,49681,88,FA,4054317963
200,2024-08-15 00:09:46.122720,10.8.15.133,10.8.15.4,6,306,49684,88,PA,3193973946
201,2024-08-15 00:09:46.122767,10.8.15.4,10.8.15.133,6,54,88,49681,A,3249662574
202,2024-08-15 00:09:46.122872,10.8.15.4,10.8.15.133,6,54,88,49681,RA,3249662574
203,2024-08-15 00:09:46.123226,10.8.15.4,10.8.15.133,6,294,88,49684,PA,1243046377
204,2024-08-15 00:09:46.123496,10.8.15.133,10.8.15.4,6,66,49685,88,S,2883582836
