Packet_Number,Timestamp,Length,Source_Port,Destination_Port,Flags,Sequence_Number,Source_IP_13.107.42.16,Source_IP_13.107.5.93,Source_IP_13.69.239.79,Source_IP_140.82.113.3,Source_IP_141.98.10.79,Source_IP_172.16.1.4,Source_IP_172.16.1.66,Source_IP_185.199.110.133,Source_IP_199.232.196.209,Source_IP_20.166.2.191,Source_IP_20.189.173.10,Source_IP_20.189.173.16,Source_IP_20.189.173.26,Source_IP_20.241.44.114,Source_IP_20.7.1.246,Source_IP_20.7.2.167,Source_IP_20.96.153.111,Source_IP_204.79.197.203,Source_IP_208.95.112.1,Source_IP_23.194.164.136,Source_IP_23.198.7.168,Source_IP_23.198.7.175,Source_IP_23.198.7.177,Source_IP_23.215.55.133,Source_IP_23.215.55.140,Source_IP_23.221.22.68,Source_IP_23.46.192.165,Source_IP_23.48.203.203,Source_IP_23.48.203.208,Source_IP_23.52.9.140,Source_IP_23.52.9.222,Source_IP_23.53.11.166,Source_IP_40.126.29.14,Source_IP_40.97.199.114,Source_IP_52.109.0.142,Source_IP_52.109.0.91,Source_IP_52.109.20.47,Source_IP_52.109.6.53,Source_IP_52.113.194.132,Source_IP_52.191.219.104,Destination_IP_13.107.42.16,Destination_IP_13.107.5.93,Destination_IP_13.69.239.79,Destination_IP_140.82.113.3,Destination_IP_141.98.10.79,Destination_IP_172.16.1.255,Destination_IP_172.16.1.4,Destination_IP_172.16.1.66,Destination_IP_185.199.110.133,Destination_IP_199.232.196.209,Destination_IP_20.166.2.191,Destination_IP_20.189.173.10,Destination_IP_20.189.173.16,Destination_IP_20.189.173.26,Destination_IP_20.241.44.114,Destination_IP_20.7.1.246,Destination_IP_20.7.2.167,Destination_IP_20.96.153.111,Destination_IP_204.79.197.203,Destination_IP_208.95.112.1,Destination_IP_224.0.0.22,Destination_IP_224.0.0.251,Destination_IP_224.0.0.252,Destination_IP_23.194.164.136,Destination_IP_23.198.7.168,Destination_IP_23.198.7.175,Destination_IP_23.198.7.177,Destination_IP_23.215.55.133,Destination_IP_23.215.55.140,Destination_IP_23.221.22.68,Destination_IP_23.46.192.165,Destination_IP_23.48.203.203,Destination_IP_23.48.203.208,Destination_IP_23.52.9.140,Destination_IP_23.52.9.222,Destination_IP_23.53.11.166,Destination_IP_239.255.255.250,Destination_IP_40.126.29.14,Destination_IP_40.97.199.114,Destination_IP_52.109.0.142,Destination_IP_52.109.0.91,Destination_IP_52.109.20.47,Destination_IP_52.109.6.53,Destination_IP_52.113.194.132,Destination_IP_52.191.219.104,Protocol_1.0,Protocol_2.0,Protocol_6.0,Protocol_17.0
1,2024-07-30 02:38:48.960835,110,137.0,137.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2024-07-30 02:38:48.960993,110,137.0,137.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2024-07-30 02:38:48.964025,54,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2024-07-30 02:38:48.965429,54,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2024-07-30 02:38:48.966985,110,137.0,137.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2024-07-30 02:38:48.968656,42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-07-30 02:38:48.968763,42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-07-30 02:38:48.976129,54,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,2024-07-30 02:38:48.978909,54,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,2024-07-30 02:38:48.980958,42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
