,Packet_Number,Timestamp,Source_IP,Destination_IP,Protocol,Length,Source_Port,Destination_Port,Flags,Sequence_Number,cluster
0,1,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,,1
1,2,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,,1
2,3,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,,1
3,4,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,,1
4,5,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,,1
5,6,38:49.0,,,,42,,,,,4
6,7,38:49.0,,,,42,,,,,4
7,8,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,,1
8,9,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,,1
9,10,38:49.0,,,,42,,,,,4
10,11,38:49.0,,,,42,,,,,4
11,12,38:49.0,172.16.1.66,172.16.1.4,17,136,57773,53,,,1
12,13,38:49.0,172.16.1.4,172.16.1.66,17,212,53,57773,,,4
13,14,38:49.0,172.16.1.66,172.16.1.4,17,100,57773,53,,,1
14,15,38:49.0,172.16.1.4,172.16.1.66,17,116,53,57773,,,4
15,16,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,,1
16,17,38:49.0,172.16.1.66,172.16.1.4,17,252,57775,389,,,1
17,18,38:49.0,172.16.1.4,172.16.1.66,17,229,389,57775,,,4
18,19,38:49.0,172.16.1.66,172.16.1.4,17,252,57775,389,,,1
19,20,38:49.0,172.16.1.66,172.16.1.4,17,252,57775,389,,,1
20,21,38:49.0,172.16.1.4,172.16.1.66,17,229,389,57775,,,4
21,22,38:49.0,172.16.1.66,172.16.1.4,17,252,57775,389,,,1
22,23,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,,1
23,24,38:49.0,172.16.1.4,172.16.1.66,17,229,389,57775,,,4
24,25,38:49.0,172.16.1.4,172.16.1.66,17,229,389,57775,,,4
25,26,38:49.0,172.16.1.66,224.0.0.251,17,81,5353,5353,,,1
26,27,38:49.0,172.16.1.66,224.0.0.251,17,91,5353,5353,,,1
27,28,38:49.0,172.16.1.66,224.0.0.252,17,75,51992,5355,,,1
28,29,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,,1
